и,and,Москва и Петербург|Moscow and St Petersburg,,
в,"(+pr) in; (+a) into, to",в Москве; в Москву|in Moscow; to Moscow,,
не,not,Он не в Москве|He is not in Moscow,,
на,"(+pr) on, at; (+a) onto, to",на работе; на стол|at work; onto the table,,
я,I,Я говорю|I speak/am speaking/say,,
он,he,Он говорит|He speaks/is speaking/says,,
что,"what, that","Я говорю, что он на работе|I say that he is at work",,
с,"(+inst) with; (+g) from, off",чай с лимоном; со стола|tea with lemon; from (off) the table,,
э́то,"this, that, it",Это наш клуб; Это верно|This is our club; That’s true,,
быть,"to be; there is, there are",Быть или не быть?; Есть кофе?|To be or not to be?; Is there any coffee?,,
а,"and, but (slight contrast)","Она в Москве, а он в Петербурге|She is in Moscow, and (but) he is in St Petersburg",,
весь,all,весь стол; вся Москва|the whole table; all of Moscow,,
они,they,Они в Москве|They are in Moscow,,
она́,she,Она со мной|She is with me,,
как,"how, as, like","Как он говорит? как я, как ты|How does he speak? like me, like you",,
мы,we,Мы были в Петербурге|We were in St Petersburg,,
к,"towards, to",к дому; ко мне|towards the house; towards me,,
у,by; at (used in ‘have’ construction),у окна; у Ивана; У Ивана есть дом|by the window; at Ivan’s house; Ivan has a house,,
вы,you (polite/pl),Вы говорите|You are speaking,,
э́тот,this,"этот стол, эта книга, эти люди|this table, this book, these people",,
за,(+a) for; (+inst) behind,платить за водку за домом|to pay for the vodka; behind the house,,
тот,that,"тот дом; в то время; то, что …|that house; at that time; the fact that…",,
но,but,Но это не правда|But that’s not true,,
ты,you (familiar),Ты говоришь|You are speaking,,
по,along; around; according to,по улице; по городу; по плану|along the street; around the town; according to,,
из,"out of, from",из дома|out of the house,,
о,"about, concerning",Он говорит о Москве|He is speaking about Moscow,,
свой,one’s own,Он говорит о своей работе|He is talking about his own work,,
так,so,так быстро|so quickly,,
оди́н,one,один стол|one table,,
во́т,"here, there (pointing)",Вот дом|There is the house,,
кото́рый,"which, who","девушка, которую он любит|the girl whom he loves",,
наш,our,наш дом|our house,,
то́лько,only,У Ивана только один брат|Ivan has only one brother,,
ещё,"still, yet",Он ещё не знает|He doesn’t know yet,,
от,from,письмо от Ивана|a letter from Ivan,,
тако́й,such,такой большой сад|such a large garden,,
мочь/с-,to be able,Я могу; Он не может говорить|I can; He can’t speak; Я смогу приехать завтра; Он не сможет ответить на ваш вопрос|I shall be able to come tomorrow; He won’t be able to answer your question,,
говорить/по-,"to speak; to have a talk, talk (to)",Я могу говорить|I can speak,,
говорить/сказать,to say,"Я сказал, что он в Москве; Скажите, пожалуйста|I said that he is in Moscow; Tell me, please",,
для,for,письмо для Ивана|a letter for Ivan,,
уже́,already,Он уже знает об этом|He already knows about this,,
знать,to know,Я знаю её|I know her,,
да,"yes; and, but","Да, это правда; он да я|Yes, that’s true; he and I",,
како́й,what (kind of),Какой у Ивана дом?|What kind of house has Ivan got?,,
когда́,when,Когда вы были в Москве?|When were you in Moscow?,,
другой,"different, other",в другом доме|in a different (another) house,,
пе́рвый,first,в первом доме|in the first house,,
что́бы,in order to,чтобы говорить по-русски|in order to speak Russian,,
его́,"his, its",Это его книга?|Is this his book?,,
год,year,в этом году|this year,,
кто,who,"Я знаю, кто он|I know who he is",,
дело,"matter, business",Это моё дело|This is my business,,
нет,no; (+g) there is no,Нет работы|There is no work,,
её,her,Вот её дом|There’s her house,,
о́чень,very,очень большой город|a very large town,,
большой,large,большие города|large towns,,
новый,new,С Новым годом!|Happy New Year,,
