и, and
в, in
не, not
на, on
я, I
быть, to be
он, he
с, with
что, what
а, and
по, on
э́то, it
она́, it
э́тот, this
к, to
но, but
они, they
мы, we
как, as
из, from
у, the
кото́рый, which
то, then
за, for
свой, your
что, what
весь, all
год, year
от, from
так, so
о, about
для, for
ты, you
же, same
все, all
тот, the
мочь, being able
вы, you
человек, people
тако́й, this
его́, it
сказа́ть, to say
то́лько, only
и́ли, or
еще, more
бы, would
себя́, yourself
оди́н, one
как, as
уже́, already
до, to
время, time
е́сли, if
сам, himself
когда́, when
другой, another
во́т, here
говорить, to say
наш, our
мо́й, my
знать, know
стать, become
при, when
что́бы, to
дело, case
жизнь, life
кто, who
пе́рвый, first
о́чень, very
два, two
день, day
ее, it
новый, new
рука, hand
да́же, even
во, in
со, with
раз, once
где, where
там, there
под, under
мо́жно, can
ну, well
како́й, what
по́сле, after
их, their
работа, work
без, without
са́мый, the
потом, then
на́до, it
хоте́ть, want
ли, whether
слово, the word
идти, go
большой, great
до́лжен, should
место, place
име́ть, to have
ничто́, nothing
то, then
сейча́с, now
тут, here
лицо, face
ка́ждый, each
друг, each
нет, no
тепе́рь, now
ни, no
глаз, eyes
то́же, too
тогда́, then
ви́деть, to see
вопрос, question
через, through
да, Yes
здесь, here
дом, house
да, Yes
потому́, because
сторона, side
како́й-то, some
ду́мать, to think
сделать, to do
страна́, country
жить, live
чем, than
мир, world
об, about
последний, last
случай, case
голова, head
более, more
де́лать, to do
что́-то, something
смотреть, watch
ребенок, child
про́сто, just
коне́чно, of course
сила, power
росси́йский, Russian
конец, the end
перед, before
не́сколько, several
вид, view
система, system
всегда́, always
работать, to work
ме́жду, between
три, three
нет, no
поня́ть, to understand
пойти́, go
часть, part
спросить, ask
город, city
дава́ть, to give
та́кже, also
никто́, none
понима́ть, to understand
получи́ть, get
отношение, attitude
лишь, only
второй, the second
и́менно, it
ваш, your
хотя́, although
ни, no
сиде́ть, sit
над, over
же́нщина, woman
оказаться, to be
ру́сский, English
оди́н, one
взять, take
приходи́ть, come
явля́ться, be
деньги, money
почему́, why
вдру́г, suddenly
люби́ть, love
стоить, cost
почти, almost
земля, earth
общий, General
ведь, because
машина, machine
одна́ко, however,
сра́зу, immediately
хорошо́, well
вода, water
оте́ц, father
высо́кий, high
остава́ться, to stay
вы́йти, exit
много, many
проблема, the problem
начать, to start
хоро́ший, good
час, hour
э́то, it
сего́дня, today
пра́во, right
совсем, quite
нога, leg
считать, be considered
главный, the main
решение, solution
увидеть, to see
дверь, the door
казаться, to seem
образ, image
писа́ть, write
история, history
лу́чший, best
власть, power
закон, the law
все, all
война́, war
бог, God
голос, voice
найти́, find
поэ́тому, so
стоя́ть, stand
вообще, in General
ты́сяча, a thousand
больше, more
вме́сте, together
маленький, small
книга, book
некоторый, some
реши́ть, to solve
любо́й, any
возможность, the ability
результат, the result
ночь, night
стол, table
никогда́, never
имя, name
область, region
молодо́й, young
пройти́, pass
наприме́р, for example
статья, article
оно́, it
число, the number
компания, the company
про, about
государственный, state
полный, full
принять, take
наро́д, people
никако́й, no
сове́тский, Soviet
жена́, wife
настоящий, this
вся́кий, every
группа, group
развитие, development
процесс, the process
суд, the court
дава́ть, to give
отве́тить, reply
старый, old
условие, condition
твой, your
пока́, while
средство, tool
по́мнить, remember
начало, beginning
ждать, wait
свет, light
пора, time
путь, path
душа́, soul
куда́, where
ну́жно, need
разный, different
нужный, need
уровень, level
иной, other
форма, form
связь, link
уж, I
минута, minute
кро́ме, in addition to
находиться, to be
опять, again
многий, many
бе́лый, white
собственный, own
улица, street
черный, black
написа́ть, write
ве́чер, evening
снова, again
основной, the main
качество, quality
мысль, thought
дорога, road
мать, mother
действие, action
месяц, month
остава́ться, to stay
государство, the state
язык, language
любо́вь, love
взгляд, view
ма́ма, mom
играть, play
далекий, far
лежа́ть, lie
нельзя́, not
век, age
школа, school
поду́мать, to think
уйти́, go
цель, goal
среди́, among
о́бщество, society
посмотре́ть, show
деятельность, activity
организа́ция, organization
кто́-то, someone
верну́ться, return
президе́нт, President
комната, room
порядок, order
момент, the moment
теа́тр, theatre
следовать, follow
чита́ть, read
письмо, letter
подобный, such
следующий, the following
у́тро, morning
осо́бенно, especially
помощь, help
ситуация, the situation
роль, role
быва́ть, to be
ходить, go
рубль, ruble
начинать, to start
появиться, to appear
смысл, meaning
состояние, state
называть, call
рядом, next
квартира, apartment
наза́д, ago
равный, equal
и́з-за, because
орган, body
внимание, attention
тело, body
труд, work
прийти́сь, be
хотеться, to want
сын, son
мера, measure
пя́ть, five
смерть, death
живой, live
рынок, market
программа, program
задача, task
предприятие, the company
известный, known
окно, window
вести, lead
совершенно, absolutely
вое́нный, military
разговор, the conversation
показать, show
прави́тельство, the government
важный, important
семья́, family
вели́кий, great
производство, production
простой, simple
зна́чит, means
третий, third
ско́лько, how many
огромный, huge
давно́, long
полити́ческий, political
информация, information
действи́тельно, indeed
положение, position
поставить, to put
боя́ться, fear
наконе́ц, finally
центр, center
происходить, to happen
ответ, reply
муж, husband
автор, author
все-таки, still
стена, wall
существовать, to exist
да́же, even
интерес, interest
становиться, to become
федера́ция, Federation
правило, rule
о́ба, both
ча́сто, often
моско́вский, Moscow
управление, management
слы́шать, to hear
бы́стро, quickly
смочь, be able
заметить, notice
ка́к-то, somehow
мужчи́на, man
до́лго, long
правда, true
идея, the idea
партия, party
иногда́, sometimes
использовать, to use
пытаться, try
готовый, ready
чуть, a little
заче́м, why
предста́вить, to present
чувствовать, feel
создать, to create
совет, the Council
счет, account
се́рдце, heart
движение, movement
вещь, the thing
материал, material
неде́ля, week
чувство, feeling
затем, then
данный, this
заниматься, to do
продолжать, continue
красный, red
глава, Chapter
ко, to
слушать, to listen
наука, science
узнать, to learn
ряд, a number of
газета, newspaper
причина, the reason
про́тив, against
плечо, shoulder
современный, modern
цена, price
план, plan
приехать, to come
речь, it
четы́ре, four
отвечать, reply
точка, point
основа, the basis
това́рищ, comrade
культу́ра, culture
сли́шком, too
расска́зывать, to tell
вполне, quite
далее, next
расска́зывать, to tell
данные, data
представлять, to present
мнение, opinion
социа́льный, social
около, about
документ, document
институт, Institute
ход, the course
брать, take
забыва́ть, forget
проект, the project
ра́нний, early
встреча, meeting
особый, special
целый, a
директор, Director
провести́, to hold
спа́ть, sleep
плохо́й, bad
может, can
впро́чем, however
сильный, strong
наверное, probably
скорый, soon
ведь, because
срок, the term
палец, finger
опыт, experience
помочь, to help
больше, more
приходи́ть, come
служба, service
крупный, large
внутренний, internal
проси́ть, ask
вспомнить, remember
открыть, open
привести, lead
судьба, destiny
пока́, while
де́вушка, girl
поско́льку, because
очередь, all
лес, forest
пусть, let
экономи́ческий, economic
оставить, leave
правый, right
состав, composition
сло́вно, like
федера́льный, Federal
спрашивать, ask
принимать, take
член, member
искать, search
близкий, close
количество, the number
похожий, similar
событие, event
объект, object
зал, hall
создание, creating
войти, to enter
различный, various
значение, value
назва́ть, call
достаточно, enough
период, period
хоть, though
шаг, step
необходимый, required
успева́ть, time
произойти, to happen
брат, brother
искусство, art
единственный, the only
легкий, easy
структура, structure
выходить, go
номер, room
предложить, to offer
пример, example
пи́ть, drink
исследование, research
граждани́н, citizen
гляде́ть, look
человеческий, human
игра, game
начальник, head
сей, this
рост, growth
ехать, go
международный, international
тема, theme
принцип, the principle
дорого́й, dear
попасть, to get
де́сять, ten
начина́ться, to begin
ве́рить, to believe
метод, method
тип, type
фильм, the film
небольшой, small
держать, keep
ли́бо, or
позволять, let
край, edge
местный, local
менее, less
гость, guest
купи́ть, buy
уходи́ть, go
собира́ться, to gather
воздух, the air
туда́, there
относи́ться, apply
бы́вший, former
требовать, require
характер, character
борьба́, the struggle
использование, use
кста́ти, by the way
подойти, come
размер, size
удава́ться, go
образование, education
получать, get
ма́льчик, boy
кровь, blood
район, district
небо, the sky
америка́нский, American
а́рмия, army
класс, class
представитель, representative
уча́стие, part
де́вочка, girl
политика, policy
снача́ла, first
геро́й, hero
картина, picture
широкий, wide
до́ллар, dollar
спина, back
территория, territory
мирово́й, world
пол, floor
тяжелый, heavy
довольно, quite
поле, field
ж, W
изменение, change
умере́ть, to die
более, more
направление, direction
рисунок, figure
течение, for
возможный, possible
це́рковь, the Church
банк, Bank
отдельный, separate
средний, average
краси́вый, beautiful
сцена, scene
население, population
большинство, most
сади́ться, take
два́дцать, twenty
случиться, happen
му́зыка, music
короткий, short
правда, true
проходить, pass
составлять, be
свобо́да, freedom
память, memory
приходи́ться, have
причем, and
команда, team
установить, to install
союз, Union
бу́дто, if
поднять, to raise
врач, the doctor
серьезный, serious
договор, contract
стараться, try
уме́ть, to be able
встава́ть, stand
дерево, tree
интере́сный, interesting
факт, the fact
до́брый, good
всего́, just
хозяин, owner
национальный, national
одна́жды, once
длинный, long
природа, nature
домо́й, home
стра́шный, terrible
прошлый, last
бу́дто, if
общественный, public
угол, angle
чтоб, so
телефон, phone
позиция, position
проводить, conduct
ско́ро, soon
наибо́лее, most
двор, yard
обычно, usually
бросить, throw
ра́зве, do
писатель, writer
самолет, the plane
объем, volume
далеко́, far
род, rod
со́лнце, the sun
вера, faith
берег, beach
спекта́кль, play
фирма, firm
способ, the way
завод, plant
цвет, color
тру́дно, hard
журнал, journal
руководитель, head
специалист, specialist
возможно, perhaps
де́тский, children
точно, exactly
объяснить, to explain
оценка, assessment
единый, single
снять, remove
определенный, certain
низкий, low
нра́виться, like
услы́шать, to hear
регион, the region
связать, link
пе́сня, song
процент, the percentage
роди́тель, parent
позволить, let
чужой, stranger
море, sea
стра́нный, strange
требование, requirement
чистый, clean
весьма́, very
како́й-нибудь, some
основание, base
половина, half
пое́хать, to go
положи́ть, put
входить, to enter
легко́, easy
по́здний, late
рома́н, novel
круг, circle
анализ, analysis
стихи, poems
автомобиль, car
специальный, special
экономика, economy
литерату́ра, literature
бумага, paper
вме́сто, instead
впервы́е, for the first time
ви́дно, see
научный, scientific
оказываться, to be
поэ́т, poet
показывать, show
степень, the degree
вызвать, call
касаться, touch
господи́н, Mr.
наде́жда, hope
сложный, complex
вокру́г, around
предмет, subject
отметить, mark
заявить, to say
вариант, option
мини́стр, Minister
отку́да, where
реальный, real
граница, border
действовать, to act
дух, spirit
модель, model
операция, operation
пара, pair
сон, sleep
немно́го, a little
название, name
ум, mind
по́вод, the reason
стари́к, the old man
способный, able
ма́ло, little
миллио́н, million
малый, small
старший, senior
успех, success
практи́чески, almost
получа́ться, to get
личный, personal
сча́стье, happiness
необходи́мо, you
свободный, free
ребя́та, guys
обычный, normal
кабинет, Cabinet
прекра́сный, beautiful
высший, higher
крича́ть, shout
пре́жде, first
магазин, shop
пространство, space
выход, output
останови́ться, stop
удар, kick
база, base
знание, knowledge
текст, text
сюда́, here
темный, dark
защита, protection
предлагать, to offer
руководство, guide
во́все, does
площадь, square
созна́ние, consciousness
гражда́нский, civil
убить, kill
возраст, age
молча́ть, silent
согласиться, agree
участник, party
участок, plot
ра́но, early
пункт, item
несмотря́, though
сильно, much
столь, so
сообщить, let
линия, line
бежать, to run
жела́ние, desire
па́па, dad
кажется, it seems
пе́ть, sing
до́ктор, Dr.
губа, lip
изве́стно, known
до́ма, home
вызывать, call
дочь, daughter
показа́ться, to seem
среда, environment
председа́тель, Chairman
представление, view
солда́т, soldiers
худо́жник, artist
принести, bring
во́лос, hair
ору́жие, weapons
вы́глядеть, look
соответствие, compliance
ника́к, does
ветер, the wind
внешний, external
па́рень, guy
служи́ть, to serve
зрение, vision
попросить, ask
генера́л, General
состоя́ть, be
огонь, fire
отда́ть, to give
боево́й, combat
понятие, the concept
строительство, construction
ухо, ear
выступать, to speak
грудь, chest
нос, nose
ставить, to put
за́втра, tomorrow
возникать, be
когда́, when
страх, fear
услу́га, service
рабочий, work
что-нибудь, something
глубокий, deep
содержание, contents
ра́дость, joy
безопасность, security
надеяться, hope
продукт, product
ви́димо, apparently
комплекс, complex
бизнес, business
подня́ться, climb
вспоминать, remember
ма́ло, little
сад, garden
долгий, long
одновременно, at the same time
называ́ться, called
сотрудник, employee
ле́то, summer
ти́хо, quietly
зато́, but
прямой, direct
курс, course
помогать, to help
предложение, the proposal
финансовый, financial
открытый, outdoor
почему́-то, for some reason
значить, mean
возникнуть, be
рот, mouth
где́-то, somewhere
технология, technology
знакомый, friend
неда́вно, recently
рефо́рма, reform
отсутствие, no
ны́нешний, current
соба́ка, dog
камень, stone
бу́дущее, future
зва́ть, call
расска́з, the story
контроль, control
позвонить, call
река, river
хватать, grab
продукция, products
сумма, the amount
техника, technique
истори́ческий, historical
вновь, again
наро́дный, folk
прямо, right
и́бо, for
вы́пить, drink
здание, building
сфера, sphere
знамени́тый, famous
иначе, otherwise
потерять, to lose
необходимость, the need
больший, more
фонд, Fund
име́ться, be
вперед, forward
подготовка, preparation
вчера́, yesterday
лист, sheet
пустой, empty
очередной, another
респу́блика, Republic
хозяйство, farm
полностью, fully
получа́ться, to get
учиться, to learn
пло́хо, bad
во́ля, will
судебный, judicial
бюджет, budget
возвращаться, return
расти, grow
снег, snow
дере́вня, village
обнаружить, discover
мужи́к, man
постоянно, constantly
зеленый, green
элемент, item
обстоятельство, circumstance
почувствовать, feel
не́мец, German
мно́гое, much
победа, victory
источник, source
немецкий, German
золотой, gold
передать, pass
технический, technical
нормальный, normal
едва́, barely
жела́ть, to wish
ожидать, to expect
некий, a
звезда, star
городской, city
выбор, choice
соответствующий, the corresponding
масса, weight
составить, be
итог, the result
сестра́, sister
что, what
шесть, six
ясно, clear
практика, practice
сто, one hundred
нести, bear
определить, to determine
проведение, holding
карман, pocket
люби́мый, favorite
родно́й, native
за́падный, Western
обяза́тельно, be sure
сла́ва, glory
ку́хня, kitchen
определение, definition
по́льзоваться, to use
быстрый, fast
функция, function
во́йско, army
комиссия, the Commission
применение, application
капита́н, captain
работник, worker
улыбну́ться, smile
холодный, cold
обеспечение, software
офице́р, officer
появляться, to appear
конкретный, specific
фамилия, surname
предел, limit
прямо, right
смея́ться, laugh
вы́боры, elections
иностра́нный, foreign
уе́хать, to leave
ученый, scientist
вро́де, like
левый, left
счастли́вый, happy
бутылка, bottle
бой, fight
подходить, come
суди́ть, to judge
роди́ться, born
теория, theory
зона, area
отдел, Department
зуб, tooth
разработка, development
отказаться, to refuse
свято́й, Holy
считаться, be considered
точный, accurate
занять, take
личность, personality
гора, mountain
добавить, add
товар, product
звонить, call
ме́дленно, slowly
носить, wear
метр, meter
начина́ться, to begin
зави́сеть, depend
пра́здник, holiday
влияние, the influence
постро́ить, to build
читатель, reader
частый, frequent
удово́льствие, fun
актер, actor
слеза́, tear
создавать, to create
значительный, significant
ответственность, responsibility
учи́тель, teacher
акт, act
встретить, to meet
принадлежать, to belong
произнести, to say
боль, pain
множество, many
связанный, associated
особенность, feature
уча́ствовать, to participate
показатель, figure
занима́ть, take
корабль, ship
уверенный, confident
звук, sound
тонкий, thin
центральный, Central
впечатление, impression
споко́йно, quietly
ча́стность, the particular
де́тство, childhood
вывод, conclusion
профе́ссор, Professor
бу́дущий, future
доля, share
норма, norm
улыба́ться, smile
про́шлое, past
во́зле, near
команди́р, commander
коридор, corridor
поддержка, support
рамка, frame
вско́ре, soon
лу́чше, better
сквозь, through
вра́г, the enemy
ла́дно, okay
этап, stage
черт, damn
дед, grandfather
направить, send
собрание, meeting
прием, welcome
физи́ческий, physical
болезнь, disease
клетка, cell
кожа, leather
заявление, statement
ра́ди, for
попытка, attempt
сравнение, comparison
то́лько, only
расчет, calculation
когда́-то, once
депута́т, MP
то, then
ча́стный, private
обрати́ться, contact
мелкий, small
невозмо́жно, it is impossible
англи́йский, English
постоянный, permanent
комитет, the Committee
знак, sign
выбрать, to choose
примерно, about
бить, beat
дя́дя, uncle
учет, accounting
хлеб, bread
тихий, quiet
хвати́ть, enough
обеща́ть, promise
ли, whether
встречаться, to meet
чай, tea
режим, mode
це́лое, integer
ви́рус, virus
гораздо, much
три́дцать, thirty
выражение, the expression
напомина́ть, to remind
уж, already
неожиданно, unexpectedly
здоро́вье, health
зима́, winter
упа́сть, fall
перестать, to stop
деся́ток, a dozen
глубина, depth
сеть, network
студе́нт, student
облада́ть, to have
секунда, second
скорость, speed
поиск, search
европе́йский, European
суть, the essence
нало́г, tax
ошибка, error
ближайший, nearest
оте́чественный, domestic
теплый, warm
пла́кать, cry
духо́вный, spiritual
доход, income
прежний, still
режиссер, Director
поверхность, surface
ощущение, feeling
состоя́ться, to be held
карта, map
клуб, club
семь, seven
станция, station
революция, revolution
колено, knee
министерство, the Ministry
стекло, glass
этаж, floor
остально́й, the rest
высота, height
наоборо́т, on the contrary
ба́бушка, grandma
дво́е, two
пове́рить, believe
трубка, tube
собрать, to collect
профессиона́льный, professional
францу́зский, French
же́нский, female
крайний, extreme
прости́ть, to forgive
газ, gas
есте́ственно, naturally
мастер, master
вниз, down
гла́вное, main
поведение, behavior
рассматривать, to consider
перейти, go
мешать, to prevent
дава́й, come on
столи́ца, capital
механизм, the mechanism
передача, transfer
бо́жий, God
исчезнуть, disappear
способность, the ability
подход, approach
разумеется, of course
сто́лько, so much
энергия, energy
дальнейший, further
существование, the existence of
исполнение, performance
со́рок, forty
кино, movie
сожале́ние, sorry
заместитель, Deputy
мол, they say
объявить, to declare
отличаться, different
естественный, natural
ресурс, resource
обращаться, contact
акция, action
информацио́нный, information
рождение, birth
снимать, remove
явно, obviously
администрация, administration
железный, iron
приглаша́ть, invite
соответствовать, to meet
стоимость, cost
улы́бка, smile
арти́ст, artist
горячий, hot
закрыть, close
придумать, to come up with
пожа́луйста, please
попробовать, try
приводить, lead
сосе́д, neighbor
фраза, the phrase
веселый, fun
фигура, figure
достигнуть, to achieve
субъект, subject
утверждать, to say
реакция, the reaction
список, list
фотография, photography
журнали́ст, journalist
май, may
означать, mean
платить, to pay
нарушение, violation
заседание, session
толпа, the crowd
больни́ца, hospital
существо́, being
решать, to solve
интере́сно, interesting
официа́льный, official
свойство, property
долг, debt
поколение, generation
серый, grey
животное, animal
схема, scheme
усилие, force
отличие, the difference
опасный, dangerous
определять, to determine
о́стров, island
