и, and
в, in
не, not
на, on
я, I
быть, to be
он, he
с, with
что, what
а, and
по, on
это, it
она, it
этот, this
к, to
но, but
они, they
мы, we
как, as
из, from
у, the
который, which
то, then
за, for
свой, your
что, what
весь, all
год, year
от, from
так, so
о, about
для, for
ты, you
же, same
все, all
тот, the
мочь, being able
вы, you
человек, people
такой, this
его, it
сказать, to say
только, only
или, or
еще, more
бы, would
себя, yourself
один, one
как, as
уже, already
до, to
время, time
если, if
сам, himself
когда, when
другой, another
вот, here
говорить, to say
наш, our
мой, my
знать, know
стать, become
при, when
чтобы, to
дело, case
жизнь, life
кто, who
первый, first
очень, very
два, two
день, day
ее, it
новый, new
рука, hand
даже, even
во, in
со, with
раз, once
где, where
там, there
под, under
можно, can
ну, well
какой, what
после, after
их, their
работа, work
без, without
самый, the
потом, then
надо, it
хотеть, want
ли, whether
слово, the word
идти, go
большой, great
должен, should
место, place
иметь, to have
ничто, nothing
то, then
сейчас, now
тут, here
лицо, face
каждый, each
друг, each
нет, no
теперь, now
ни, no
глаз, eyes
тоже, too
тогда, then
видеть, to see
вопрос, question
через, through
да, Yes
здесь, here
дом, house
да, Yes
потому, because
сторона, side
какой-то, some
думать, to think
сделать, to do
страна, country
жить, live
чем, than
мир, world
об, about
последний, last
случай, case
голова, head
более, more
делать, to do
что-то, something
смотреть, watch
ребенок, child
просто, just
конечно, of course
сила, power
российский, Russian
конец, the end
перед, before
несколько, several
вид, view
система, system
всегда, always
работать, to work
между, between
три, three
нет, no
понять, to understand
пойти, go
часть, part
спросить, ask
город, city
дать, to give
также, also
никто, none
понимать, to understand
получить, get
отношение, attitude
лишь, only
второй, the second
именно, it
ваш, your
хотя, although
ни, no
сидеть, sit
над, over
женщина, woman
оказаться, to be
русский, English
один, one
взять, take
прийти, come
являться, be
деньги, money
почему, why
вдруг, suddenly
любить, love
стоить, cost
почти, almost
земля, earth
общий, General
ведь, because
машина, machine
однако, however,
сразу, immediately
хорошо, well
вода, water
отец, father
высокий, high
остаться, to stay
выйти, exit
много, many
проблема, the problem
начать, to start
хороший, good
час, hour
это, it
сегодня, today
право, right
совсем, quite
нога, leg
считать, be considered
главный, the main
решение, solution
увидеть, to see
дверь, the door
казаться, to seem
образ, image
писать, write
история, history
лучший, best
власть, power
закон, the law
все, all
война, war
бог, God
голос, voice
найти, find
поэтому, so
стоять, stand
вообще, in General
тысяча, a thousand
больше, more
вместе, together
маленький, small
книга, book
некоторый, some
решить, to solve
любой, any
возможность, the ability
результат, the result
ночь, night
стол, table
никогда, never
имя, name
область, region
молодой, young
пройти, pass
например, for example
статья, article
оно, it
число, the number
компания, the company
про, about
государственный, state
полный, full
принять, take
народ, people
никакой, no
советский, Soviet
жена, wife
настоящий, this
всякий, every
группа, group
развитие, development
процесс, the process
суд, the court
давать, to give
ответить, reply
старый, old
условие, condition
твой, your
пока, while
средство, tool
помнить, remember
начало, beginning
ждать, wait
свет, light
пора, time
путь, path
душа, soul
куда, where
нужно, need
разный, different
нужный, need
уровень, level
иной, other
форма, form
связь, link
уж, I
минута, minute
кроме, in addition to
находиться, to be
опять, again
многий, many
белый, white
собственный, own
улица, street
черный, black
написать, write
вечер, evening
снова, again
основной, the main
качество, quality
мысль, thought
дорога, road
мать, mother
действие, action
месяц, month
оставаться, to stay
государство, the state
язык, language
любовь, love
взгляд, view
мама, mom
играть, play
далекий, far
лежать, lie
нельзя, not
век, age
школа, school
подумать, to think
уйти, go
цель, goal
среди, among
общество, society
посмотреть, show
деятельность, activity
организация, organization
кто-то, someone
вернуться, return
президент, President
комната, room
порядок, order
момент, the moment
театр, theatre
следовать, follow
читать, read
письмо, letter
подобный, such
следующий, the following
утро, morning
особенно, especially
помощь, help
ситуация, the situation
роль, role
бывать, to be
ходить, go
рубль, ruble
начинать, to start
появиться, to appear
смысл, meaning
состояние, state
называть, call
рядом, next
квартира, apartment
назад, ago
равный, equal
из-за, because
орган, body
внимание, attention
тело, body
труд, work
прийтись, be
хотеться, to want
сын, son
мера, measure
пять, five
смерть, death
живой, live
рынок, market
программа, program
задача, task
предприятие, the company
известный, known
окно, window
вести, lead
совершенно, absolutely
военный, military
разговор, the conversation
показать, show
правительство, the government
важный, important
семья, family
великий, great
производство, production
простой, simple
значит, means
третий, third
сколько, how many
огромный, huge
давно, long
политический, political
информация, information
действительно, indeed
положение, position
поставить, to put
бояться, fear
наконец, finally
центр, center
происходить, to happen
ответ, reply
муж, husband
автор, author
все-таки, still
стена, wall
существовать, to exist
даже, even
интерес, interest
становиться, to become
федерация, Federation
правило, rule
оба, both
часто, often
московский, Moscow
управление, management
слышать, to hear
быстро, quickly
смочь, be able
заметить, notice
как-то, somehow
мужчина, man
долго, long
правда, true
идея, the idea
партия, party
иногда, sometimes
использовать, to use
пытаться, try
готовый, ready
чуть, a little
зачем, why
представить, to present
чувствовать, feel
создать, to create
совет, the Council
счет, account
сердце, heart
движение, movement
вещь, the thing
материал, material
неделя, week
чувство, feeling
затем, then
данный, this
заниматься, to do
продолжать, continue
красный, red
глава, Chapter
ко, to
слушать, to listen
наука, science
узнать, to learn
ряд, a number of
газета, newspaper
причина, the reason
против, against
плечо, shoulder
современный, modern
цена, price
план, plan
приехать, to come
речь, it
четыре, four
отвечать, reply
точка, point
основа, the basis
товарищ, comrade
культура, culture
слишком, too
рассказывать, to tell
вполне, quite
далее, next
рассказать, to tell
данные, data
представлять, to present
мнение, opinion
социальный, social
около, about
документ, document
институт, Institute
ход, the course
брать, take
забыть, forget
проект, the project
ранний, early
встреча, meeting
особый, special
целый, a
директор, Director
провести, to hold
спать, sleep
плохой, bad
может, can
впрочем, however
сильный, strong
наверное, probably
скорый, soon
ведь, because
срок, the term
палец, finger
опыт, experience
помочь, to help
больше, more
приходить, come
служба, service
крупный, large
внутренний, internal
просить, ask
вспомнить, remember
открыть, open
привести, lead
судьба, destiny
пока, while
девушка, girl
поскольку, because
очередь, all
лес, forest
пусть, let
экономический, economic
оставить, leave
правый, right
состав, composition
словно, like
федеральный, Federal
спрашивать, ask
принимать, take
член, member
искать, search
близкий, close
количество, the number
похожий, similar
событие, event
объект, object
зал, hall
создание, creating
войти, to enter
различный, various
значение, value
назвать, call
достаточно, enough
период, period
хоть, though
шаг, step
необходимый, required
успеть, time
произойти, to happen
брат, brother
искусство, art
единственный, the only
легкий, easy
структура, structure
выходить, go
номер, room
предложить, to offer
пример, example
пить, drink
исследование, research
гражданин, citizen
глядеть, look
человеческий, human
игра, game
начальник, head
сей, this
рост, growth
ехать, go
международный, international
тема, theme
принцип, the principle
дорогой, dear
попасть, to get
десять, ten
начаться, to begin
верить, to believe
метод, method
тип, type
фильм, the film
небольшой, small
держать, keep
либо, or
позволять, let
край, edge
местный, local
менее, less
гость, guest
купить, buy
уходить, go
собираться, to gather
воздух, the air
туда, there
относиться, apply
бывший, former
требовать, require
характер, character
борьба, the struggle
использование, use
кстати, by the way
подойти, come
размер, size
удаться, go
образование, education
получать, get
мальчик, boy
кровь, blood
район, district
небо, the sky
американский, American
армия, army
класс, class
представитель, representative
участие, part
девочка, girl
политика, policy
сначала, first
герой, hero
картина, picture
широкий, wide
доллар, dollar
спина, back
территория, territory
мировой, world
пол, floor
тяжелый, heavy
довольно, quite
поле, field
ж, W
изменение, change
умереть, to die
более, more
направление, direction
рисунок, figure
течение, for
возможный, possible
церковь, the Church
банк, Bank
отдельный, separate
средний, average
красивый, beautiful
сцена, scene
население, population
большинство, most
сесть, take
двадцать, twenty
случиться, happen
музыка, music
короткий, short
правда, true
проходить, pass
составлять, be
свобода, freedom
память, memory
приходиться, have
причем, and
команда, team
установить, to install
союз, Union
будто, if
поднять, to raise
врач, the doctor
серьезный, serious
договор, contract
стараться, try
уметь, to be able
встать, stand
дерево, tree
интересный, interesting
факт, the fact
добрый, good
всего, just
хозяин, owner
национальный, national
однажды, once
длинный, long
природа, nature
домой, home
страшный, terrible
прошлый, last
будто, if
общественный, public
угол, angle
чтоб, so
телефон, phone
позиция, position
проводить, conduct
скоро, soon
наиболее, most
двор, yard
обычно, usually
бросить, throw
разве, do
писатель, writer
самолет, the plane
объем, volume
далеко, far
род, rod
солнце, the sun
вера, faith
берег, beach
спектакль, play
фирма, firm
способ, the way
завод, plant
цвет, color
трудно, hard
журнал, journal
руководитель, head
специалист, specialist
возможно, perhaps
детский, children
точно, exactly
объяснить, to explain
оценка, assessment
единый, single
снять, remove
определенный, certain
низкий, low
нравиться, like
услышать, to hear
регион, the region
связать, link
песня, song
процент, the percentage
родитель, parent
позволить, let
чужой, stranger
море, sea
странный, strange
требование, requirement
чистый, clean
весьма, very
какой-нибудь, some
основание, base
половина, half
поехать, to go
положить, put
входить, to enter
легко, easy
поздний, late
роман, novel
круг, circle
анализ, analysis
стихи, poems
автомобиль, car
специальный, special
экономика, economy
литература, literature
бумага, paper
вместо, instead
впервые, for the first time
видно, see
научный, scientific
оказываться, to be
поэт, poet
показывать, show
степень, the degree
вызвать, call
касаться, touch
господин, Mr.
надежда, hope
сложный, complex
вокруг, around
предмет, subject
отметить, mark
заявить, to say
вариант, option
министр, Minister
откуда, where
реальный, real
граница, border
действовать, to act
дух, spirit
модель, model
операция, operation
пара, pair
сон, sleep
немного, a little
название, name
ум, mind
повод, the reason
старик, the old man
способный, able
мало, little
миллион, million
малый, small
старший, senior
успех, success
практически, almost
получиться, to get
личный, personal
счастье, happiness
необходимо, you
свободный, free
ребята, guys
обычный, normal
кабинет, Cabinet
прекрасный, beautiful
высший, higher
кричать, shout
прежде, first
магазин, shop
пространство, space
выход, output
остановиться, stop
удар, kick
база, base
знание, knowledge
текст, text
сюда, here
темный, dark
защита, protection
предлагать, to offer
руководство, guide
вовсе, does
площадь, square
сознание, consciousness
гражданский, civil
убить, kill
возраст, age
молчать, silent
согласиться, agree
участник, party
участок, plot
рано, early
пункт, item
несмотря, though
сильно, much
столь, so
сообщить, let
линия, line
бежать, to run
желание, desire
папа, dad
кажется, it seems
петь, sing
доктор, Dr.
губа, lip
известно, known
дома, home
вызывать, call
дочь, daughter
показаться, to seem
среда, environment
председатель, Chairman
представление, view
солдат, soldiers
художник, artist
принести, bring
волос, hair
оружие, weapons
выглядеть, look
соответствие, compliance
никак, does
ветер, the wind
внешний, external
парень, guy
служить, to serve
зрение, vision
попросить, ask
генерал, General
состоять, be
огонь, fire
отдать, to give
боевой, combat
понятие, the concept
строительство, construction
ухо, ear
выступать, to speak
грудь, chest
нос, nose
ставить, to put
завтра, tomorrow
возникать, be
когда, when
страх, fear
услуга, service
рабочий, work
что-нибудь, something
глубокий, deep
содержание, contents
радость, joy
безопасность, security
надеяться, hope
продукт, product
видимо, apparently
комплекс, complex
бизнес, business
подняться, climb
вспоминать, remember
мало, little
сад, garden
долгий, long
одновременно, at the same time
называться, called
сотрудник, employee
лето, summer
тихо, quietly
зато, but
прямой, direct
курс, course
помогать, to help
предложение, the proposal
финансовый, financial
открытый, outdoor
почему-то, for some reason
значить, mean
возникнуть, be
рот, mouth
где-то, somewhere
технология, technology
знакомый, friend
недавно, recently
реформа, reform
отсутствие, no
нынешний, current
собака, dog
камень, stone
будущее, future
звать, call
рассказ, the story
контроль, control
позвонить, call
река, river
хватать, grab
продукция, products
сумма, the amount
техника, technique
исторический, historical
вновь, again
народный, folk
прямо, right
ибо, for
выпить, drink
здание, building
сфера, sphere
знаменитый, famous
иначе, otherwise
потерять, to lose
необходимость, the need
больший, more
фонд, Fund
иметься, be
вперед, forward
подготовка, preparation
вчера, yesterday
лист, sheet
пустой, empty
очередной, another
республика, Republic
хозяйство, farm
полностью, fully
получаться, to get
учиться, to learn
плохо, bad
воля, will
судебный, judicial
бюджет, budget
возвращаться, return
расти, grow
снег, snow
деревня, village
обнаружить, discover
мужик, man
постоянно, constantly
зеленый, green
элемент, item
обстоятельство, circumstance
почувствовать, feel
немец, German
многое, much
победа, victory
источник, source
немецкий, German
золотой, gold
передать, pass
технический, technical
нормальный, normal
едва, barely
желать, to wish
ожидать, to expect
некий, a
звезда, star
городской, city
выбор, choice
соответствующий, the corresponding
масса, weight
составить, be
итог, the result
сестра, sister
что, what
шесть, six
ясно, clear
практика, practice
сто, one hundred
нести, bear
определить, to determine
проведение, holding
карман, pocket
любимый, favorite
родной, native
западный, Western
обязательно, be sure
слава, glory
кухня, kitchen
определение, definition
пользоваться, to use
быстрый, fast
функция, function
войско, army
комиссия, the Commission
применение, application
капитан, captain
работник, worker
улыбнуться, smile
холодный, cold
обеспечение, software
офицер, officer
появляться, to appear
конкретный, specific
фамилия, surname
предел, limit
прямо, right
смеяться, laugh
выборы, elections
иностранный, foreign
уехать, to leave
ученый, scientist
вроде, like
левый, left
счастливый, happy
бутылка, bottle
бой, fight
подходить, come
судить, to judge
родиться, born
теория, theory
зона, area
отдел, Department
зуб, tooth
разработка, development
отказаться, to refuse
святой, Holy
считаться, be considered
точный, accurate
занять, take
личность, personality
гора, mountain
добавить, add
товар, product
звонить, call
медленно, slowly
носить, wear
метр, meter
начинаться, to begin
зависеть, depend
праздник, holiday
влияние, the influence
построить, to build
читатель, reader
частый, frequent
удовольствие, fun
актер, actor
слеза, tear
создавать, to create
значительный, significant
ответственность, responsibility
учитель, teacher
акт, act
встретить, to meet
принадлежать, to belong
произнести, to say
боль, pain
множество, many
связанный, associated
особенность, feature
участвовать, to participate
показатель, figure
занимать, take
корабль, ship
уверенный, confident
звук, sound
тонкий, thin
центральный, Central
впечатление, impression
спокойно, quietly
частность, the particular
детство, childhood
вывод, conclusion
профессор, Professor
будущий, future
доля, share
норма, norm
улыбаться, smile
прошлое, past
возле, near
командир, commander
коридор, corridor
поддержка, support
рамка, frame
вскоре, soon
лучше, better
сквозь, through
враг, the enemy
ладно, okay
этап, stage
черт, damn
дед, grandfather
направить, send
собрание, meeting
прием, welcome
физический, physical
болезнь, disease
клетка, cell
кожа, leather
заявление, statement
ради, for
попытка, attempt
сравнение, comparison
только, only
расчет, calculation
когда-то, once
депутат, MP
то, then
частный, private
обратиться, contact
мелкий, small
невозможно, it is impossible
английский, English
постоянный, permanent
комитет, the Committee
знак, sign
выбрать, to choose
примерно, about
бить, beat
дядя, uncle
учет, accounting
хлеб, bread
тихий, quiet
хватить, enough
обещать, promise
ли, whether
встречаться, to meet
чай, tea
режим, mode
целое, integer
вирус, virus
гораздо, much
тридцать, thirty
выражение, the expression
напоминать, to remind
уж, I
неожиданно, unexpectedly
здоровье, health
зима, winter
упасть, fall
перестать, to stop
десяток, a dozen
глубина, depth
сеть, network
студент, student
обладать, to have
секунда, second
скорость, speed
поиск, search
европейский, European
суть, the essence
налог, tax
ошибка, error
ближайший, nearest
отечественный, domestic
теплый, warm
плакать, cry
духовный, spiritual
доход, income
прежний, still
режиссер, Director
поверхность, surface
ощущение, feeling
состояться, to be held
карта, map
клуб, club
семь, seven
станция, station
революция, revolution
колено, knee
министерство, the Ministry
стекло, glass
этаж, floor
остальной, the rest
высота, height
наоборот, on the contrary
бабушка, grandma
двое, two
поверить, believe
трубка, tube
собрать, to collect
профессиональный, professional
французский, French
женский, female
крайний, extreme
простить, to forgive
газ, gas
естественно, naturally
мастер, master
вниз, down
главное, main
поведение, behavior
рассматривать, to consider
перейти, go
мешать, to prevent
давай, come on
столица, capital
механизм, the mechanism
передача, transfer
божий, God
исчезнуть, disappear
способность, the ability
подход, approach
разумеется, of course
столько, so much
энергия, energy
дальнейший, further
существование, the existence of
исполнение, performance
сорок, forty
кино, movie
сожаление, sorry
заместитель, Deputy
мол, they say
объявить, to declare
отличаться, different
естественный, natural
ресурс, resource
обращаться, contact
акция, action
информационный, information
рождение, birth
снимать, remove
явно, obviously
администрация, administration
железный, iron
пригласить, invite
соответствовать, to meet
стоимость, cost
улыбка, smile
артист, artist
горячий, hot
закрыть, close
придумать, to come up with
пожалуйста, please
попробовать, try
приводить, lead
сосед, neighbor
фраза, the phrase
веселый, fun
фигура, figure
достигнуть, to achieve
субъект, subject
утверждать, to say
реакция, the reaction
список, list
фотография, photography
журналист, journalist
май, may
означать, mean
платить, to pay
нарушение, violation
заседание, session
толпа, the crowd
больница, hospital
существо, being
решать, to solve
интересно, interesting
официальный, official
свойство, property
долг, debt
поколение, generation
серый, grey
животное, animal
схема, scheme
усилие, force
отличие, the difference
опасный, dangerous
определять, to determine
остров, island
наблюдать, watch
противник, the enemy
волна, wave
погибнуть, die
разговаривать, talk
прочий, other
реализация, implementation
страница, page
формирование, the formation of
житель, resident
устроить, to arrange
есть, there
красота, beauty
правильно, correctly
благодаря, thanks
птица, bird
собраться, to gather
достать, to get
растение, plant
тень, shadow
явление, the phenomenon
храм, the temple
запах, the smell
слабый, weak
водка, vodka
наличие, the presence of
пожалуй, perhaps
яркий, bright
ужас, horror
одежда, clothing
ездить, ride
кресло, chair
больной, patient
поезд, train
университет, University
летний, summer
дополнительный, additional
понравиться, like
традиция, tradition
адрес, address
декабрь, December
ладонь, palm
поздно, late
сведение, mixing
правильный, correct
цветок, flower
выполнять, to perform
лесной, forest
лидер, leader
октябрь, October
занятие, lesson
заставить, to make
объяснять, to explain
сентябрь, September
помещение, the room
прочее, other
согласно, according
январь, January
выполнить, to perform
зритель, the viewer
постепенно, gradually
резко, sharply
редакция, edition
указать, to specify
умный, smart
стиль, style
весна, spring
северный, North
фактор, factor
август, August
известие, news
зависимость, dependence
охрана, protection
ясный, clear
милый, cute
оборудование, equipment
светлый, light
концерт, concert
отделение, Department
расход, consumption
редкий, rare
выставка, exhibition
милиция, police
верный, true
вздохнуть, sigh
юридический, legal
находить, find
переход, the transition
закончить, finish
эпоха, age
запад, West
признать, to recognize
произведение, work
родина, homeland
собственность, property
тайна, mystery
хотя, although
четвертый, fourth
административный, administrative
трава, grass
дойти, walk
лагерь, camp
во-первых, first
имущество, property
кивнуть, to nod
кровать, bed
понятно, it is clear
настолько, so
обратить, to pay
узкий, narrow
абсолютно, absolutely
аппарат, apparatus
несколько, several
очевидно, obviously
середина, the middle
узнавать, to learn
встретиться, to meet
март, March
художественный, art
клиент, client
лично, personally
дама, lady
обратно, back
